year,state_fips,state_abbr,state_name,region,division,total_jail_pop,male_jail_pop,female_jail_pop,black_jail_pop,black_male_jail_pop,black_female_jail_pop,latinx_jail_pop,latinx_male_jail_pop,latinx_female_jail_pop,white_jail_pop,white_male_jail_pop,white_female_jail_pop,native_jail_pop,aapi_jail_pop,other_race_jail_pop,total_pretrial_custody,total_pretrial_juris,total_jail_from_fed,total_jail_from_prison,total_jail_from_other_jail,total_jail_from_bia,total_jail_from_bop,total_jail_from_ice,total_jail_from_marshals,total_jail_from_other_fed,total_contracted_out,total_contracted_in,total_jail_admits,male_jail_admits,female_jail_admits,total_jail_discharges,male_jail_discharges,female_jail_discharges,jail_rated_capacity,total_sentenced_custody,is_unified_state,total_prison_pop,female_prison_pop,male_prison_pop,black_prison_pop,black_male_prison_pop,black_female_prison_pop,latinx_prison_pop,latinx_male_prison_pop,latinx_female_prison_pop,white_prison_pop,white_male_prison_pop,white_female_prison_pop,native_prison_pop,native_male_prison_pop,native_female_prison_pop,aapi_prison_pop,aapi_male_prison_pop,aapi_female_prison_pop,other_race_prison_pop,other_race_male_prison_pop,other_race_female_prison_pop,total_prison_admits,male_prison_admits,female_prison_admits,black_prison_admits,black_male_prison_admits,black_female_prison_admits,latinx_prison_admits,latinx_male_prison_admits,latinx_female_prison_admits,white_prison_admits,white_male_prison_admits,white_female_prison_admits,native_prison_admits,native_male_prison_admits,native_female_prison_admits,aapi_prison_admits,aapi_male_prison_admits,aapi_female_prison_admits,other_race_prison_admits,other_race_male_prison_admits,other_race_female_prison_admits,total_pop_15to64,male_pop_15to64,female_pop_15to64,black_pop_15to64,black_male_pop_15to64,black_female_pop_15to64,latinx_pop_15to64,latinx_male_pop_15to64,latinx_female_pop_15to64,white_pop_15to64,white_male_pop_15to64,white_female_pop_15to64,native_pop_15to64,native_male_pop_15to64,native_female_pop_15to64,aapi_pop_15to64,aapi_male_pop_15to64,aapi_female_pop_15to64,total_incarceration,total_incarceration_rate,total_jail_pop_rate,male_jail_pop_rate,female_jail_pop_rate,black_jail_pop_rate,latinx_jail_pop_rate,white_jail_pop_rate,native_jail_pop_rate,aapi_jail_pop_rate,total_pretrial_custody_rate,total_sentenced_custody_rate,total_jail_admits_rate,male_jail_admits_rate,female_jail_admits_rate,total_jail_discharges_rate,male_jail_discharges_rate,female_jail_discharges_rate,total_prison_pop_rate,male_prison_pop_rate,female_prison_pop_rate,black_prison_pop_rate,black_male_prison_pop_rate,black_female_prison_pop_rate,latinx_prison_pop_rate,latinx_male_prison_pop_rate,latinx_female_prison_pop_rate,white_prison_pop_rate,white_male_prison_pop_rate,white_female_prison_pop_rate,native_prison_pop_rate,native_male_prison_pop_rate,native_female_prison_pop_rate,aapi_prison_pop_rate,aapi_male_prison_pop_rate,aapi_female_prison_pop_rate,total_prison_admits_rate,male_prison_admits_rate,female_prison_admits_rate,black_prison_admits_rate,black_male_prison_admits_rate,black_female_prison_admits_rate,latinx_prison_admits_rate,latinx_male_prison_admits_rate,latinx_female_prison_admits_rate,white_prison_admits_rate,white_male_prison_admits_rate,white_female_prison_admits_rate,native_prison_admits_rate,native_male_prison_admits_rate,native_female_prison_admits_rate,aapi_prison_admits_rate,aapi_male_prison_admits_rate,aapi_female_prison_admits_rate
2024,02,AK,Alaska,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482067,258161,223906,21924,12984,8940,35693,19440,16253,302739,164265,138474,77019,39733,37286,44692,21739,22953,,,,,,,,,,,,,,,,,,,921.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,02,AK,Alaska,West,Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,4487.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482067,258161,223906,21924,12984,8940,35693,19440,16253,302739,164265,138474,77019,39733,37286,44692,21739,22953,,,,,,,,,,,,,,,,,,,930.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,02,AK,Alaska,West,Pacific,2934,2599,335,,,,,,,,,,,,,2305,,,,,,,,,,,,1521,,,,,,,,true,4778,456,4322,446,426,20,121,112,9,1740,1570,170,1870,1681,189,220,201,19,,,,1521,1209,,,,,,,,,,,,,,,,,,,,483453,258621,224832,21876,12927,8949,34915,18964,15951,305081,165346,139735,77215,39793,37422,44366,21591,22775,7712,1595.19,606.88,1004.95,149,,,,,,5195.42,,314.61,,,,,,988.31,1671.17,202.82,2038.76,3295.43,223.49,346.56,590.59,56.42,570.34,949.52,121.66,2421.81,4224.36,505.05,495.88,930.94,83.42,314.61,467.48,,,,,,,,,,,,,,,,
2021,02,AK,Alaska,West,Pacific,3076,2719,357,,,,,,,,,,,,,2420,,,,,,,,,,,,1457,,,,,,,,true,4639,442,4197,465,441,24,125,111,14,1895,1692,203,1855,1679,176,253,233,20,,,,1457,1244,,,,,,,,,,,,,,,,,,,,486876,260291,226585,21853,12919,8934,34115,18505,15610,309077,167317,141760,77522,39897,37625,44309,21653,22656,7715,1584.59,631.78,1044.6,157.56,,,,,,5461.64,,299.25,,,,,,952.81,1612.43,195.07,2127.85,3413.58,268.64,366.41,599.84,89.69,613.12,1011.25,143.2,2392.87,4208.34,467.77,570.99,1076.06,88.28,299.25,477.93,,,,,,,,,,,,,,,,
2020,02,AK,Alaska,West,Pacific,2784,2464,320,,,,,,,,,,,,,2422,,,,,,,,,,,,1664,,,,,,,,true,4578,419,4159,464,440,24,124,110,14,1850,1682,168,1956,1761,195,135,120,15,,,,1664,1436,,,,,,,,,,,,,,,,,,,,487876,260367,227509,21762,12811,8951,33165,17958,15207,311621,168456,143165,77234,39605,37629,44094,21537,22557,7362,1508.99,570.64,946.36,140.65,,,,,,5492.81,,341.07,,,,,,938.35,1597.36,184.17,2132.16,3434.55,268.13,373.89,612.54,92.06,593.67,998.48,117.35,2532.56,4446.41,518.22,306.16,557.18,66.5,341.07,551.53,,,,,,,,,,,,,,,,
2019,02,AK,Alaska,West,Pacific,62,35,8,0,,,1,,,22,,,15,0,0,18,,0,12,0,0,0,0,0,0,,,1021.5,811.5,210,897.75,705.75,192,126,28,true,4475,426,4049,454,429,25,123,113,10,1863,1665,198,1777,1604,173,226,206,20,,,,1560,1425,,,,,,,,,,,,,,,,,,,,492288,262363,229925,21891,12838,9053,33294,18066,15228,316022,170531,145491,77104,39497,37607,43977,21431,22546,4525,919.18,12.59,13.34,3.48,0,3,6.96,19.45,0,40.93,63.67,207.5,309.3,91.33,182.36,269,83.51,909.02,1543.28,185.28,2073.91,3341.64,276.15,369.44,625.48,65.67,589.52,976.36,136.09,2304.68,4061.07,460.02,513.9,961.22,88.71,316.89,543.14,,,,,,,,,,,,,,,,
2018,02,AK,Alaska,West,Pacific,61.5,45.18,13.82,0,,,1.17,,,17.88,,,12.45,0,0,17.78,,0,15.67,0.34,0,0,0,0,0,,,1060.5,825.25,235.25,912.08,715.7,196.38,129.33,13.22,true,4380,379,4001,447,426,21,125,113,12,1877,1708,169,1679,1518,161,224,209,15,,,,1765,1495,,,,,,,,,,,,,,,,,,,,497202,264712,232490,22000,12904,9096,33246,17958,15288,321194,173184,148010,77175,39482,37693,43587,21184,22403,4425.83,890.15,12.37,17.07,5.94,0,3.52,5.57,16.13,0,40.79,30.33,213.29,311.75,101.19,183.44,270.37,84.47,880.93,1511.45,163.02,2031.82,3301.3,230.87,375.99,629.25,78.49,584.38,986.23,114.18,2175.57,3844.79,427.14,513.91,986.59,66.96,354.99,564.76,,,,,,,,,,,,,,,,
2017,02,AK,Alaska,West,Pacific,75.6,58.2,17.4,0,,,0.83,,,24.5,,,24.67,0,0,28.5,,0,19.33,0.66,0,0,0,0,0,,,1242.12,957.12,285,935.43,733.15,202.28,132.67,20.5,true,4399,388,4011,486,459,27,131,119,12,1928,1744,184,1611,1467,144,211,194,17,,,,1580,1446,,,,,,,,,,,,,,,,,,,,503728,268244,235484,22087,12926,9161,33295,17938,15357,327607,176744,150863,77198,39460,37738,43541,21176,22365,4455.27,884.46,15.01,21.7,7.39,0,2.49,7.48,31.96,0,65.46,47.08,246.59,356.81,121.03,185.7,273.31,85.9,873.29,1495.28,164.77,2200.39,3550.98,294.73,393.45,663.4,78.14,588.51,986.74,121.96,2086.84,3717.69,381.58,484.6,916.13,76.01,313.66,539.06,,,,,,,,,,,,,,,,
2016,02,AK,Alaska,West,Pacific,75.2,59.12,16.08,0,,,0.83,,,24.25,,,28.92,0,0,31,,0,23,1,0,0,0,0,0,,,1294.25,1050,244.25,958.74,750.58,208.16,136,22,true,4434,410,4024,454,429,25,136,122,14,1965,1763,202,1609,1463,146,196,183,13,,,,1804,1502,,,,,,,,,,,,,,,,,,,,508537,271019,237518,21890,12890,9000,32801,17665,15136,334461,180476,153985,77277,39561,37716,42108,20427,21681,4486.2,882.18,14.79,21.81,6.77,0,2.53,7.25,37.42,0,73.62,52.25,254.5,387.43,102.83,188.53,276.95,87.64,871.91,1484.77,172.62,2074.01,3328.16,277.78,414.62,690.63,92.49,587.51,976.86,131.18,2082.12,3698.09,387.1,465.47,895.87,59.96,354.74,554.2,,,,,,,,,,,,,,,,
2015,02,AK,Alaska,West,Pacific,68.8,52.93,15.87,0,,,0.67,,,27.25,,,25.08,0,0,29.42,,0,26.67,1.34,0,0,0,0,0,,,1394,1114.8,279.2,982.1,768.04,214.06,139.33,22.58,true,5338,577,4761,531,502,29,149,133,16,2470,2160,310,1919,1716,203,224,210,14,,,,4271,3131,,,,,,,,,,,,,,,,,,,,509135,271273,237862,21445,12648,8797,32194,17382,14812,337771,182098,155673,77122,39456,37666,40603,19689,20914,5380.13,1056.72,13.51,19.51,6.67,0,2.08,8.07,32.52,0,72.46,55.61,273.8,410.95,117.38,192.9,283.12,89.99,1048.44,1755.06,242.58,2476.1,3969.01,329.66,462.82,765.16,108.02,731.26,1186.17,199.14,2488.27,4349.15,538.95,551.68,1066.59,66.94,838.87,1154.19,,,,,,,,,,,,,,,,
