county_fips,group_id,regional_jail_name,county_fips_list,start_year,end_year,n_years,n_counties
08051,56,,"('08051', '08053')",1970,2026,57,2
08053,56,,"('08051', '08053')",1970,2026,57,2
08061,57,,"('08061', '08099')",1989,2026,38,2
08067,58,,"('08067', '08111')",1970,2026,57,2
08075,59,,"('08075', '08095')",1984,2026,43,2
08079,60,,"('08079', '08105')",1970,2026,57,2
08085,61,,"('08085', '08091')",1970,2026,57,2
08091,61,,"('08085', '08091')",1970,2026,57,2
08095,59,,"('08075', '08095')",1984,2026,43,2
08099,57,,"('08061', '08099')",1989,2026,38,2
08105,60,,"('08079', '08105')",1970,2026,57,2
08111,58,,"('08067', '08111')",1970,2026,57,2
13061,62,,"('13061', '13239', '13243')",1994,2026,33,3
13101,63,,"('13101', '13185')",1970,2026,57,2
13185,63,,"('13101', '13185')",1970,2026,57,2
13189,64,,"('13189', '13301')",1979,2026,48,2
13239,62,,"('13061', '13239', '13243')",1994,2026,33,3
13239,67,,"('13239', '13243')",1970,1993,24,2
13243,62,,"('13061', '13239', '13243')",1994,2026,33,3
13243,67,,"('13239', '13243')",1970,1993,24,2
13261,65,,"('13261', '13307')",1989,2026,38,2
13265,66,,"('13265', '13317')",1970,2026,57,2
13301,64,,"('13189', '13301')",1979,2026,48,2
13307,65,,"('13261', '13307')",1989,2026,38,2
13317,66,,"('13265', '13317')",1970,2026,57,2
16001,69,,"('16001', '16015')",1979,2026,48,2
16005,70,,"('16005', '16071')",2007,2026,20,2
16015,69,,"('16001', '16015')",1979,2026,48,2
16031,71,,"('16031', '16067')",1989,2026,38,2
16065,72,,"('16065', '16081')",2000,2026,27,2
16067,71,,"('16031', '16067')",1989,2026,38,2
16071,70,,"('16005', '16071')",2007,2026,20,2
16081,72,,"('16065', '16081')",2000,2026,27,2
17013,73,,"('17013', '17083')",1984,2026,43,2
17047,74,,"('17047', '17059', '17065', '17193')",1986,2026,41,4
17047,77,,"('17047', '17065', '17193')",1984,1985,2,3
17047,78,,"('17047', '17193')",1970,1983,14,2
17059,74,,"('17047', '17059', '17065', '17193')",1986,2026,41,4
17065,74,,"('17047', '17059', '17065', '17193')",1986,2026,41,4
17065,77,,"('17047', '17065', '17193')",1984,1985,2,3
17083,73,,"('17013', '17083')",1984,2026,43,2
17087,75,,"('17087', '17165')",1970,2026,57,2
17127,76,,"('17127', '17151')",1984,2026,43,2
17151,76,,"('17127', '17151')",1984,2026,43,2
17165,75,,"('17087', '17165')",1970,2026,57,2
17193,74,,"('17047', '17059', '17065', '17193')",1986,2026,41,4
17193,77,,"('17047', '17065', '17193')",1984,1985,2,3
17193,78,,"('17047', '17193')",1970,1983,14,2
18115,79,,"('18115', '18155')",1979,2026,48,2
18155,79,,"('18115', '18155')",1979,2026,48,2
19025,68,,"('19025', '19161')",1984,2026,43,2
19161,68,,"('19025', '19161')",1984,2026,43,2
20063,80,,"('20063', '20195')",1970,2026,57,2
20069,81,,"('20069', '20119')",1970,2026,57,2
20119,81,,"('20069', '20119')",1970,2026,57,2
20171,82,,"('20171', '20203')",1970,2026,57,2
20195,80,,"('20063', '20195')",1970,2026,57,2
20203,82,,"('20171', '20203')",1970,2026,57,2
21001,4,Adair County Regional Jail,"('21001', '21057')",1984,2026,43,2
21005,93,,"('21005', '21211', '21215')",1988,2026,39,3
21009,94,,"('21009', '21169')",1979,2026,48,2
21011,85,Montgomery County Regional Jail,"('21011', '21173', '21165')",1989,2026,38,3
21015,95,,"('21015', '21191')",2000,2026,27,2
21017,5,Bourbon County Regional Detention Center,"('21017', '21097', '21181', '21201')",1979,2026,48,4
21023,0,Mason County Regional Detention Center,"('21023', '21069', '21135', '21161')",2021,2026,6,4
21023,6,Mason County Regional Detention Center,"('21023', '21069', '21161')",1989,2020,32,3
21023,98,,"('21023', '21161')",1979,1988,10,2
21025,1,Kentucky River Regional Jail,"('21025', '21119', '21193')",2021,2026,6,3
21025,8,Three Forks Regional Detention Center,"('21025', '21129', '21189', '21237')",1990,2019,30,4
21025,96,,"('21025', '21129', '21189')",1989,1989,1,3
21025,99,,"('21025', '21129')",1979,1988,10,2
21027,86,,"('21027', '21091')",2000,2026,27,2
21033,87,,"('21033', '21143')",1984,2026,43,2
21041,83,Carrol County Regional Detention Center,"('21041', '21103', '21223')",1989,2019,31,3
21041,84,Carrol County Regional Detention Center,"('21041', '21077', '21187', '21223')",2020,2026,7,4
21041,100,,"('21041', '21223')",1970,1988,19,2
21047,90,,"('21047', '21221')",2006,2026,21,2
21057,4,Adair County Regional Jail,"('21001', '21057')",1984,2026,43,2
21063,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21063,97,,"('21063', '21115', '21127', '21153', '21175')",1989,1989,1,5
21063,101,,"('21063', '21115', '21175')",1984,1988,5,3
21065,3,Three Forks Regional Detention Center,"('21129', '21189', '21237', '21151', '21065')",2020,2026,7,5
21069,0,Mason County Regional Detention Center,"('21023', '21069', '21135', '21161')",2021,2026,6,4
21069,6,Mason County Regional Detention Center,"('21023', '21069', '21161')",1989,2020,32,3
21077,84,Carrol County Regional Detention Center,"('21041', '21077', '21187', '21223')",2020,2026,7,4
21079,88,,"('21079', '21137')",1984,2026,43,2
21087,89,,"('21087', '21217')",1984,2026,43,2
21091,86,,"('21027', '21091')",2000,2026,27,2
21097,5,Bourbon County Regional Detention Center,"('21017', '21097', '21181', '21201')",1979,2026,48,4
21103,83,Carrol County Regional Detention Center,"('21041', '21103', '21223')",1989,2019,31,3
21115,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21115,97,,"('21063', '21115', '21127', '21153', '21175')",1989,1989,1,5
21115,101,,"('21063', '21115', '21175')",1984,1988,5,3
21115,103,,"('21115', '21175')",1979,1983,5,2
21119,1,Kentucky River Regional Jail,"('21025', '21119', '21193')",2021,2026,6,3
21119,7,Kentucky River Regional Jail,"('21119', '21193')",2000,2020,21,2
21127,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21127,97,,"('21063', '21115', '21127', '21153', '21175')",1989,1989,1,5
21129,3,Three Forks Regional Detention Center,"('21129', '21189', '21237', '21151', '21065')",2020,2026,7,5
21129,8,Three Forks Regional Detention Center,"('21025', '21129', '21189', '21237')",1990,2019,30,4
21129,96,,"('21025', '21129', '21189')",1989,1989,1,3
21129,99,,"('21025', '21129')",1979,1988,10,2
21135,0,Mason County Regional Detention Center,"('21023', '21069', '21135', '21161')",2021,2026,6,4
21137,88,,"('21079', '21137')",1984,2026,43,2
21139,92,,"('21139', '21145')",2000,2026,27,2
21143,87,,"('21033', '21143')",1984,2026,43,2
21145,92,,"('21139', '21145')",2000,2026,27,2
21151,3,Three Forks Regional Detention Center,"('21129', '21189', '21237', '21151', '21065')",2020,2026,7,5
21153,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21153,97,,"('21063', '21115', '21127', '21153', '21175')",1989,1989,1,5
21155,91,,"('21155', '21229')",1979,2026,48,2
21159,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
21161,0,Mason County Regional Detention Center,"('21023', '21069', '21135', '21161')",2021,2026,6,4
21161,6,Mason County Regional Detention Center,"('21023', '21069', '21161')",1989,2020,32,3
21161,98,,"('21023', '21161')",1979,1988,10,2
21165,85,Montgomery County Regional Jail,"('21011', '21173', '21165')",1989,2026,38,3
21169,94,,"('21009', '21169')",1979,2026,48,2
21173,85,Montgomery County Regional Jail,"('21011', '21173', '21165')",1989,2026,38,3
21175,2,Big Sandy Regional Detention Center,"('21063', '21115', '21127', '21153', '21159', '21175')",1990,2026,37,6
